class	group	term	genes	all	padj
DOWN	AD1_stress	oxidoreduction-driven active transmembrane transporter activity	16	47	1.000727631357153e-6
DOWN	AD1_stress	pectin metabolic process	12	64	0.023465071181830804
DOWN	AD1_stress	photosynthesis	76	365	2.4326899872361107e-20
DOWN	AD1_stress	photosynthesis, light harvesting	13	55	0.0015412859424950283
DOWN	AD1_stress	photosynthesis, light harvesting in photosystem I	5	11	0.023465071181830804
DOWN	AD1_stress	photosynthesis, light harvesting in photosystem II	6	14	0.009262671517221946
DOWN	AD1_stress	photosynthesis, light reaction	48	227	9.758641379543578e-13
DOWN	AD1_stress	Photosynthesis.photophosphorylation.ATP synthase complex.membrane CF0 subcomplex.subunit b	5	6	7.041045332576003e-4
DOWN	AD1_stress	photosynthetic electron transport chain	26	124	1.6199375327592464e-6
DOWN	AD1_stress	photosynthetic electron transport in photosystem I	9	22	3.246781991889246e-4
DOWN	AD1_stress	photosynthetic electron transport in photosystem II	8	24	0.004997717674118977
DOWN	AD1_stress	photosynthetic membrane	95	500	2.5127824205022064e-22
DOWN	AD1_stress	Photosynthetic reaction centre, L/M	6	14	0.009262671517221946
DOWN	AD1_stress	photosystem	28	115	1.6267445612660372e-8
DOWN	AD1_stress	photosystem I	9	37	0.020481229266319904
DOWN	AD1_stress	photosystem II	18	68	7.320073352709469e-6
DOWN	AD1_stress	Photosystem II protein D1/D2 superfamily	6	14	0.009262671517221946
DOWN	AD1_stress	plastid chromosome	6	18	0.03593691485008777
DOWN	AD1_stress	plastid large ribosomal subunit	7	23	0.0233534690703568
DOWN	AD1_stress	plastid membrane	91	583	6.032374240907634e-16
DOWN	AD1_stress	plastid nucleoid	13	58	0.002665574317274245
DOWN	AD1_stress	plastid organization	41	316	1.1837848785591018e-4
DOWN	AD1_stress	plastid ribosome	20	54	2.8695439306094037e-9
DOWN	AD1_stress	plastid small ribosomal subunit	13	30	1.000727631357153e-6
DOWN	AD1_stress	plastid thylakoid	97	536	1.7268052318227884e-21
DOWN	AD1_stress	plastid thylakoid membrane	81	429	5.312902494097722e-19
DOWN	AD1_stress	plastoglobule	17	96	0.003622038312929302
DOWN	AD1_stress	protein domain specific binding	23	97	1.0602436489515689e-6
DOWN	AD1_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.receptor-like protein kinase (RLCK-V)	6	14	0.009262671517221946
DOWN	AD1_stress	Protein TIC214	11	16	3.087356131189185e-8
DOWN	AD1_stress	protein-containing complex assembly	46	484	0.03579697330177044
DOWN	AD1_stress	proton channel activity	15	40	7.128333495746687e-7
DOWN	AD1_stress	proton transmembrane transport	33	170	1.4257955528207134e-7
DOWN	AD1_stress	proton transmembrane transporter activity	36	229	6.328264529545223e-6
DOWN	AD1_stress	proton-transporting ATP synthase activity, rotational mechanism	14	38	2.771952636124247e-6
DOWN	AD1_stress	proton-transporting ATP synthase complex	22	80	1.3535757244060097e-7
DOWN	AD1_stress	proton-transporting ATP synthase complex, catalytic core F(1)	8	30	0.022767067491173177
DOWN	AD1_stress	proton-transporting ATP synthase complex, coupling factor F(o)	14	44	1.8960354137744572e-5
DOWN	AD1_stress	proton-transporting two-sector ATPase complex	25	121	4.0858179875659875e-6
DOWN	AD1_stress	proton-transporting two-sector ATPase complex, proton-transporting domain	16	69	2.3943503201287176e-4
DOWN	AD1_stress	purine nucleoside triphosphate biosynthetic process	26	93	2.903829730910571e-9
DOWN	AD1_stress	purine nucleotide biosynthetic process	28	162	2.4950340918203207e-5
DOWN	AD1_stress	purine nucleotide metabolic process	34	265	0.0010995701698983651
DOWN	AD1_stress	purine ribonucleoside triphosphate biosynthetic process	26	93	2.903829730910571e-9
DOWN	AD1_stress	purine ribonucleotide biosynthetic process	28	153	7.857693619619197e-6
DOWN	AD1_stress	purine ribonucleotide metabolic process	33	249	7.97857719681948e-4
DOWN	AD1_stress	purine-containing compound biosynthetic process	30	171	7.320073352709469e-6
DOWN	AD1_stress	purine-containing compound metabolic process	36	291	0.00134136319126645
DOWN	AD1_stress	respiratory electron transport chain	13	62	0.004997717674118977
DOWN	AD1_stress	ribonucleoprotein complex	63	544	1.068439584728987e-5
DOWN	AD1_stress	ribonucleoside triphosphate biosynthetic process	26	100	1.628346348142954e-8
DOWN	AD1_stress	ribonucleotide biosynthetic process	28	168	5.39377119021873e-5
DOWN	AD1_stress	ribonucleotide metabolic process	33	265	0.0025868528090778106
DOWN	AD1_stress	Ribosomal protein S2, bacteria/mitochondria/plastid	4	7	0.035158495988017686
DOWN	AD1_stress	Ribosomal protein S5/S7	7	14	8.666779233294119e-4
DOWN	AD1_stress	Ribosomal protein S6	3	3	0.022767067491173177
DOWN	AD1_stress	Ribosomal protein S6 superfamily	3	3	0.022767067491173177
DOWN	AD1_stress	Ribosomal protein S7 domain	7	14	8.666779233294119e-4
DOWN	AD1_stress	Ribosomal protein S7 domain superfamily	7	14	8.666779233294119e-4
DOWN	AD1_stress	ribosomal subunit	56	399	1.0324463511837728e-7
DOWN	AD1_stress	Ribulose bisphosphate carboxylase, large subunit, C-terminal	4	6	0.018374443217956754
DOWN	AD1_stress	Ribulose bisphosphate carboxylase, large subunit, C-terminal domain superfamily	4	6	0.018374443217956754
DOWN	AD1_stress	ribulose-bisphosphate carboxylase activity	4	7	0.035158495988017686
DOWN	AD1_stress	small ribosomal subunit	29	165	1.0872486431636561e-5
DOWN	AD1_stress	structural constituent of ribosome	103	673	1.415227051559168e-17
DOWN	AD1_stress	structural molecule activity	112	780	4.009204853567609e-17
DOWN	AD1_stress	thylakoid lumen	15	64	4.241809803628582e-4
DOWN	AD1_stress	thylakoid membrane	89	465	2.2496884357900526e-21
ADD	AD1_stress	NAD+ nucleosidase activity	11	44	0.016496393997222254
ELD_P2	AD1_stress	Alcohol dehydrogenase, N-terminal	18	59	0.02725605439923262
ELD_P2	AD1_stress	amine metabolic process	32	136	0.02484039507148301
ELD_P2	AD1_stress	ammonia-lyase activity	7	11	0.02725605439923262
ELD_P2	AD1_stress	AP2/ERF domain superfamily	43	213	0.03979172505432175
ELD_P2	AD1_stress	aromatic amino acid family metabolic process	25	96	0.02725605439923262
ELD_P2	AD1_stress	Aromatic amino acid lyase	6	7	0.013808960581178083
ELD_P2	AD1_stress	cellular amine metabolic process	22	82	0.033909003317338406
ELD_P2	AD1_stress	cellular biogenic amine metabolic process	21	74	0.02725605439923262
ELD_P2	AD1_stress	coumarin biosynthetic process	6	8	0.02725605439923262
ELD_P2	AD1_stress	coumarin metabolic process	7	10	0.019940780228662663
ELD_P2	AD1_stress	Cytochrome P450 superfamily	65	329	0.005168234456012402
ELD_P2	AD1_stress	Enzyme classification.EC_2 transferases.EC_2.7 transferase transferring phosphorus-containing group	51	269	0.04605365981449283
ELD_P2	AD1_stress	Ethylene-responsive transcription factor	16	52	0.04947268678544291
ELD_P2	AD1_stress	heme binding	86	477	0.0061682108322711005
ELD_P2	AD1_stress	monooxygenase activity	76	400	0.004191208873553345
ELD_P2	AD1_stress	NAD(P)-binding domain superfamily	81	464	0.02351704690358794
ELD_P2	AD1_stress	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	82	470	0.022763621417782147
ELD_P2	AD1_stress	Phenylalanine ammonia-lyase	6	7	0.013808960581178083
ELD_P2	AD1_stress	phenylalanine ammonia-lyase activity	5	6	0.045416167185001674
ELD_P2	AD1_stress	Phenylalanine ammonia-lyase, shielding domain superfamily	6	7	0.013808960581178083
ELD_P2	AD1_stress	phenylpropanoid biosynthetic process	27	105	0.02276125842411675
ELD_P2	AD1_stress	phenylpropanoid metabolic process	40	189	0.02725605439923262
ELD_P2	AD1_stress	Protein of unknown function DUF247, plant	18	45	0.0012971438035916795
ELD_P2	AD1_stress	regulation of defense response	64	351	0.02725605439923262
ELD_P2	AD1_stress	response to chitin	43	156	4.512033171797079e-5
ELD_P2	AD1_stress	response to nitrogen compound	67	316	3.8308912434512993e-4
ELD_P2	AD1_stress	response to organonitrogen compound	56	245	3.538878053156031e-4
ELD_P2	AD1_stress	response to water deprivation	103	643	0.045055563255327814
ELD_P2	AD1_stress	response to wounding	60	298	0.005897216012955646
ELD_P2	AD1_stress	RNA biosynthesis.transcriptional regulation.WRKY transcription factor activity.transcription factor (WRKY)	42	118	1.1469130963866792e-8
ELD_P2	AD1_stress	secondary metabolite biosynthetic process	38	177	0.027611545484357645
ELD_P2	AD1_stress	tetrapyrrole binding	87	510	0.026265869841860124
ELD_P2	AD1_stress	UDP-glucuronosyl/UDP-glucosyltransferase	33	144	0.02725605439923262
ELD_P2	AD1_stress	WRKY domain	42	118	1.1469130963866792e-8
ELD_P2	AD1_stress	WRKY transcription factor, plant	42	117	1.1469130963866792e-8
UP	AD4_control	abscisic acid binding	8	31	0.048579980744292775
UP	AD4_control	ADP binding	42	357	0.0010371273722022656
UP	AD4_control	Apoptotic protease-activating factors, helical domain	29	243	0.014201146868583805
UP	AD4_control	Bet v I type allergen	8	24	0.011459899734774558
UP	AD4_control	Bet v I/Major latex protein	16	44	1.9189222748754336e-6
UP	AD4_control	Bulb-type lectin domain	17	95	0.006117455634231516
UP	AD4_control	Bulb-type lectin domain superfamily	17	100	0.010070061001448484
UP	AD4_control	carbon-oxygen lyase activity, acting on phosphates	12	65	0.04164085366649326
UP	AD4_control	Cathepsin propeptide inhibitor domain (I29)	9	37	0.0336930989185052
UP	AD4_control	cysteine-type peptidase activity	21	152	0.017669480172662344
UP	AD4_control	Cytochrome P450 superfamily	40	320	5.88270142242084e-4
UP	AD4_control	Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen	54	349	7.750707847276516e-9
UP	AD4_control	Enzyme classification.EC_2 transferases.EC_2.7 transferase transferring phosphorus-containing group	36	270	5.88270142242084e-4
UP	AD4_control	Glycoside hydrolase family 18, catalytic domain	7	21	0.02477243733744488
UP	AD4_control	heme binding	50	467	0.001460832458280914
UP	AD4_control	iron ion binding	45	423	0.004258822466435414
UP	AD4_control	Isopenicillin N synthase-like superfamily	24	178	0.011007786265597267
UP	AD4_control	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain	23	163	0.00892229874914386
UP	AD4_control	L10-interacting MYB domain-containing protein	11	57	0.048579980744292775
UP	AD4_control	Leucine-rich repeat-containing N-terminal, plant-type	43	420	0.011007786265597267
UP	AD4_control	Malectin domain	9	32	0.014201146868583805
UP	AD4_control	monooxygenase activity	47	391	3.54775680208354e-4
UP	AD4_control	NB-ARC	32	284	0.01677363028232866
UP	AD4_control	Non-haem dioxygenase N-terminal domain	22	162	0.01677363028232866
UP	AD4_control	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	50	459	0.0010371273722022656
UP	AD4_control	Papain-like cysteine endopeptidase	11	42	0.006117455634231516
UP	AD4_control	Peptidase C1A, papain C-terminal	12	46	0.0031354742298706235
UP	AD4_control	polysaccharide binding	19	130	0.01794850697525056
UP	AD4_control	Protein homeostasis.proteolysis.cysteine-type peptidase activities.C1-class protease (Papain)	10	35	0.006414663984656841
UP	AD4_control	Protein modification.phosphorylation.TKL protein kinase superfamily.LRR-VIII protein kinase families.protein kinase (LRR-VIII-2)	8	27	0.020085200698858063
UP	AD4_control	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (LRR-XII)	14	65	0.0047913047295499505
UP	AD4_control	recognition of pollen	16	108	0.048579980744292775
UP	AD4_control	RNA biosynthesis.transcriptional regulation.WRKY transcription factor activity.transcription factor (WRKY)	18	118	0.01708805844713994
UP	AD4_control	S-receptor-like serine/threonine-protein kinase	16	77	0.0022897788397847367
UP	AD4_control	Secondary metabolism.terpenoids.terpene biosynthesis.mono-/sesquiterpene-/diterpene synthase	10	44	0.0262158296472668
UP	AD4_control	Serine-threonine/tyrosine-protein kinase, catalytic domain	56	523	5.88270142242084e-4
UP	AD4_control	START-like domain superfamily	20	128	0.007463455348026404
UP	AD4_control	terpene synthase activity	12	55	0.011966278706697019
UP	AD4_control	Terpene synthase, metal-binding domain	11	51	0.02011336026644101
UP	AD4_control	Terpene synthase, N-terminal domain	10	48	0.048579980744292775
UP	AD4_control	Terpene synthase, N-terminal domain superfamily	10	48	0.048579980744292775
UP	AD4_control	tetrapyrrole binding	54	500	5.88270142242084e-4
UP	AD4_control	Wall-associated receptor kinase, galacturonan-binding domain	19	107	0.0028471291177708915
UP	AD4_control	WRKY domain	18	118	0.01708805844713994
UP	AD4_control	WRKY transcription factor, plant	18	117	0.01677363028232866
UP	AD4_control	Zinc knuckle CX2CX4HX4C	6	14	0.01794850697525056
DOWN	AD4_control	ADP binding	37	357	8.924323713713467e-4
DOWN	AD4_control	Apoptotic protease-activating factors, helical domain	28	243	0.001949455239782652
DOWN	AD4_control	cell wall organization or biogenesis	46	544	0.008653650537164848
DOWN	AD4_control	chlorophyll binding	12	30	6.7034734130647365e-6
DOWN	AD4_control	Disease resistance protein, plants	25	250	0.04206269090246115
DOWN	AD4_control	electron transfer activity	27	172	1.8552270124213218e-5
DOWN	AD4_control	electron transport chain	29	197	1.8808792931510274e-5
DOWN	AD4_control	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	7	24	0.023641159833263873
DOWN	AD4_control	Enzyme classification.EC_2 transferases.EC_2.4 glycosyltransferase	20	167	0.019841759568430765
DOWN	AD4_control	etioplast	5	12	0.04198584669877807
DOWN	AD4_control	external encapsulating structure	50	639	0.022706249525417672
DOWN	AD4_control	generation of precursor metabolites and energy	44	519	0.011503365206659915
DOWN	AD4_control	membrane protein complex	55	654	0.0018945465758480743
DOWN	AD4_control	mitochondrial large ribosomal subunit	6	12	0.00326481792342315
DOWN	AD4_control	mitochondrial ribosome	9	17	1.8808792931510274e-5
DOWN	AD4_control	mitochondrial small ribosomal subunit	4	5	0.010207997481000689
DOWN	AD4_control	NB-ARC	33	284	3.5377052852372933e-4
DOWN	AD4_control	organellar large ribosomal subunit	9	34	0.006667180730567391
DOWN	AD4_control	organellar ribosome	17	61	4.280162374682206e-6
DOWN	AD4_control	organellar small ribosomal subunit	14	35	1.222242758568558e-6
DOWN	AD4_control	oxidoreduction-driven active transmembrane transporter activity	10	47	0.014545735337209362
DOWN	AD4_control	photosynthesis	36	364	0.0028664231312230566
DOWN	AD4_control	photosynthesis, light reaction	27	226	0.0016937253693901934
DOWN	AD4_control	Photosynthesis.photophosphorylation.linear electron flow.ferredoxin electron carrier activities.NADP-reduction-targeted ferredoxin (Fd)	4	7	0.04733401465065211
DOWN	AD4_control	photosynthetic electron transport chain	21	122	1.0434530311447335e-4
DOWN	AD4_control	photosystem	18	115	0.0018325677102158503
DOWN	AD4_control	Photosystem antenna protein-like	9	15	6.7034734130647365e-6
DOWN	AD4_control	Photosystem antenna protein-like superfamily	9	15	6.7034734130647365e-6
DOWN	AD4_control	plastid ribosome	13	53	3.5377052852372933e-4
DOWN	AD4_control	plastid small ribosomal subunit	10	30	3.5377052852372933e-4
DOWN	AD4_control	ribonucleoprotein complex	45	546	0.01676373038163767
DOWN	AD4_control	Ribosomal protein S5/S7	7	14	7.06688985605672e-4
DOWN	AD4_control	Ribosomal protein S7 domain	7	14	7.06688985605672e-4
DOWN	AD4_control	Ribosomal protein S7 domain superfamily	7	14	7.06688985605672e-4
DOWN	AD4_control	ribosomal subunit	42	400	1.9446303717313778e-4
DOWN	AD4_control	small ribosomal subunit	25	167	1.0434530311447335e-4
DOWN	AD4_control	structural constituent of ribosome	53	673	0.013035896432005626
DOWN	AD4_control	structural molecule activity	58	779	0.02315642081264905
ADD	AD4_control	UDP-glucuronosyl/UDP-glucosyltransferase	20	144	0.02582075557654549
ELD_P1	AD4_control	apoplast	113	367	3.745170036141344e-5
ELD_P1	AD4_control	carbohydrate biosynthetic process	108	409	0.04130627148254075
ELD_P1	AD4_control	cellular carbohydrate metabolic process	132	505	0.017150411536409872
ELD_P1	AD4_control	cellular glucan metabolic process	80	288	0.049418476238788304
ELD_P1	AD4_control	cellular polysaccharide metabolic process	100	373	0.04130627148254075
ELD_P1	AD4_control	chloroplast envelope	227	757	2.2324401866205086e-10
ELD_P1	AD4_control	chloroplast organization	68	227	0.0200612178324301
ELD_P1	AD4_control	chloroplast stroma	277	863	2.081322168887704e-17
ELD_P1	AD4_control	chloroplast thylakoid	162	531	1.0121487504093769e-7
ELD_P1	AD4_control	chloroplast thylakoid membrane	124	421	7.162250114303665e-5
ELD_P1	AD4_control	circadian rhythm	68	208	0.0010567992810763898
ELD_P1	AD4_control	DYW domain	52	105	5.0311469251029945e-9
ELD_P1	AD4_control	extracellular region	132	484	0.00203117042823579
ELD_P1	AD4_control	glycine metabolic process	13	24	0.049418476238788304
ELD_P1	AD4_control	hydrogen peroxide biosynthetic process	13	23	0.04033804810052468
ELD_P1	AD4_control	photosynthetic membrane	137	500	0.0011251826772237612
ELD_P1	AD4_control	plastid membrane	163	581	3.755199343844185e-5
ELD_P1	AD4_control	plastid organization	100	316	3.755199343844185e-5
ELD_P1	AD4_control	plastid thylakoid	164	536	7.446385149795966e-8
ELD_P1	AD4_control	plastid thylakoid membrane	127	429	3.911146114947693e-5
ELD_P1	AD4_control	polysaccharide metabolic process	112	426	0.04130627148254075
ELD_P1	AD4_control	PORR family	10	15	0.04033804810052468
ELD_P1	AD4_control	pyrimidine-containing compound biosynthetic process	22	52	0.04130627148254075
ELD_P1	AD4_control	pyrimidine-containing compound metabolic process	25	63	0.04335284982931365
ELD_P1	AD4_control	reactive oxygen species biosynthetic process	17	32	0.010536596497259488
ELD_P1	AD4_control	response to acid chemical	166	672	0.04033804810052468
ELD_P1	AD4_control	response to cadmium ion	117	433	0.010536596497259488
ELD_P1	AD4_control	response to cold	170	610	3.74743156513673e-5
ELD_P1	AD4_control	response to water	163	659	0.04130627148254075
ELD_P1	AD4_control	response to water deprivation	158	639	0.04335284982931365
ELD_P1	AD4_control	ribonucleoprotein complex biogenesis	78	251	0.001515164319564077
ELD_P1	AD4_control	ribosome biogenesis	70	215	9.359517005299275e-4
ELD_P1	AD4_control	RNA modification	66	192	2.2402824442235606e-4
ELD_P1	AD4_control	small molecule biosynthetic process	173	708	0.042948789386804624
ELD_P1	AD4_control	stromule	29	56	3.911146114947693e-5
ELD_P1	AD4_control	thylakoid membrane	137	465	3.160341221127092e-5
ELD_P2	AD4_control	ADP binding	54	357	0.0040901579446265485
ELD_P2	AD4_control	Apoptotic protease-activating factors, helical domain	38	243	0.03513071906336835
ELD_P2	AD4_control	Cytochrome P450 superfamily	52	320	0.003071544647590999
ELD_P2	AD4_control	Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen	53	349	0.0040901579446265485
ELD_P2	AD4_control	heme binding	65	467	0.005274244089119125
ELD_P2	AD4_control	iron ion binding	60	423	0.005995717989330291
ELD_P2	AD4_control	monooxygenase activity	58	391	0.0040901579446265485
ELD_P2	AD4_control	Protein of unknown function DUF247, plant	15	45	0.0040901579446265485
ELD_P2	AD4_control	tetrapyrrole binding	65	500	0.03513071906336835
UP	AD4_stress	ABC-type transporter activity	25	140	0.015111722027133232
UP	AD4_stress	abscisic acid binding	12	31	5.615901580009207e-4
UP	AD4_stress	ADP binding	52	357	0.0028366293471125724
UP	AD4_stress	alcohol binding	12	33	0.0010577930835743666
UP	AD4_stress	Alcohol dehydrogenase, N-terminal	14	59	0.022750223931487266
UP	AD4_stress	amino sugar catabolic process	10	19	1.7840354534703724e-4
UP	AD4_stress	Apoptotic protease-activating factors, helical domain	39	243	0.0036837019024753307
UP	AD4_stress	ATP-binding cassette transporter, PDR-like subfamily G, domain 2	9	28	0.02782044509379045
UP	AD4_stress	Berberine/berberine-like	12	28	2.0041513173907146e-4
UP	AD4_stress	Bet v I type allergen	11	24	2.3544277971712915e-4
UP	AD4_stress	Bet v I/Major latex protein	19	44	1.6677647648479122e-7
UP	AD4_stress	Bulb-type lectin domain	36	95	2.079440659717056e-12
UP	AD4_stress	Bulb-type lectin domain superfamily	36	100	9.260628924240276e-12
UP	AD4_stress	carbohydrate binding	54	316	2.498247777354773e-5
UP	AD4_stress	carbohydrate derivative catabolic process	14	56	0.01450720661414504
UP	AD4_stress	cell recognition	35	111	8.059997039356319e-10
UP	AD4_stress	cell wall macromolecule catabolic process	12	36	0.002762108967783465
UP	AD4_stress	chitin binding	17	38	7.300934696727101e-7
UP	AD4_stress	Chitin-binding, type 1	8	12	2.0240273352726954e-4
UP	AD4_stress	chitinase activity	11	22	9.916593152931078e-5
UP	AD4_stress	Cytochrome P450 superfamily	53	320	8.819455147020697e-5
UP	AD4_stress	defense response to bacterium	66	528	0.019811061708287014
UP	AD4_stress	defense response to fungus	62	413	2.3497006226309725e-4
UP	AD4_stress	Disease resistance protein, plants	37	250	0.022262318229115938
UP	AD4_stress	endochitinase activity	4	5	0.026112130567698795
UP	AD4_stress	Endochitinase-like superfamily	8	12	2.0240273352726954e-4
UP	AD4_stress	Enzyme classification.EC_1 oxidoreductases.EC_1.1 oxidoreductase acting on CH-OH group of donor	24	110	0.0010120949679004495
UP	AD4_stress	Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen	64	349	1.38345155346137e-7
UP	AD4_stress	Enzyme classification.EC_2 transferases.EC_2.7 transferase transferring phosphorus-containing group	55	270	5.40769765676291e-8
UP	AD4_stress	enzyme inhibitor activity	29	182	0.028538611288684252
UP	AD4_stress	ethylene-activated signaling pathway	27	165	0.029608335477070567
UP	AD4_stress	FAD linked oxidase, N-terminal	13	51	0.01932541650301514
UP	AD4_stress	FAD-binding, type PCMH, subdomain 1	13	51	0.01932541650301514
UP	AD4_stress	glucosamine-containing compound metabolic process	10	21	4.5626497880180616e-4
UP	AD4_stress	glutathione metabolic process	18	88	0.022246777503084392
UP	AD4_stress	Glutathione S-transferase Omega/Tau-like	11	32	0.00434120964769356
UP	AD4_stress	Glutathione S-transferase, N-terminal	15	60	0.009242729725768537
UP	AD4_stress	Glutathione S-transferases Tau, C-terminal alpha helical domain, plant	13	38	9.578834795545497e-4
UP	AD4_stress	glutathione transferase activity	14	50	0.0046150429387197146
UP	AD4_stress	Glycoside hydrolase, family 19	9	17	4.8431146064429334e-4
UP	AD4_stress	Glycoside hydrolase, family 19, catalytic	9	17	4.8431146064429334e-4
UP	AD4_stress	Gnk2-homologous domain	22	72	9.470296676984058e-6
UP	AD4_stress	Gnk2-homologous domain superfamily	22	72	9.470296676984058e-6
UP	AD4_stress	GroES-like superfamily	16	73	0.02221704056170314
UP	AD4_stress	heme binding	66	467	7.283009933928241e-4
UP	AD4_stress	hormone binding	13	48	0.011011153870147687
UP	AD4_stress	immune response-regulating signaling pathway	14	58	0.019811061708287014
UP	AD4_stress	innate immune response	42	237	2.0240273352726954e-4
UP	AD4_stress	Ionotropic glutamate receptor	9	23	0.007077131930112651
UP	AD4_stress	IQ domain-containing protein IQM	7	17	0.026112130567698795
UP	AD4_stress	iron ion binding	58	423	0.0052816184326629975
UP	AD4_stress	Isopenicillin N synthase-like superfamily	38	178	7.857901545230679e-6
UP	AD4_stress	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain	35	163	2.0132087334713852e-5
UP	AD4_stress	isoprenoid binding	13	38	9.578834795545497e-4
UP	AD4_stress	L10-interacting MYB domain-containing protein	17	57	3.563250882827472e-4
UP	AD4_stress	Leucine-rich repeat-containing N-terminal, plant-type	79	420	6.668954193431599e-10
UP	AD4_stress	ligand-gated channel activity	10	34	0.028034372347480595
UP	AD4_stress	Lysozyme-like domain superfamily	9	20	0.0021795740466786866
UP	AD4_stress	molecular transducer activity	29	133	1.701531920110807e-4
UP	AD4_stress	monocarboxylic acid binding	15	63	0.014589385329418655
UP	AD4_stress	monooxygenase activity	60	391	1.8895445266739315e-4
UP	AD4_stress	Multi-process regulation.calcium-dependent signalling.calcium sensor (CML)	19	92	0.01450720661414504
UP	AD4_stress	Myb/SANT-like domain	16	68	0.010787189850277797
UP	AD4_stress	NAC domain	26	131	0.0023553456440164903
UP	AD4_stress	NAC domain superfamily	26	131	0.0023553456440164903
UP	AD4_stress	NB-ARC	42	284	0.010385963845661908
UP	AD4_stress	Non-haem dioxygenase N-terminal domain	34	162	5.281063678153634e-5
UP	AD4_stress	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	62	459	0.004611641719759133
UP	AD4_stress	PAN/Apple domain	23	61	6.593124758360718e-8
UP	AD4_stress	Papain-like cysteine endopeptidase	11	42	0.03975263692124489
UP	AD4_stress	pattern recognition receptor signaling pathway	9	24	0.009646785041452137
UP	AD4_stress	Periplasmic binding protein-like I	7	18	0.03597747267757541
UP	AD4_stress	PGG domain	18	85	0.015228233075629115
UP	AD4_stress	phosphatase inhibitor activity	13	38	9.578834795545497e-4
UP	AD4_stress	Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category.PIP/PIPL-peptide activity.PIP/PIPL-precursor polypeptide	6	13	0.03344373522061306
UP	AD4_stress	Plant PDR ABC transporter associated	9	28	0.02782044509379045
UP	AD4_stress	plant-type hypersensitive response	17	81	0.023582862696174517
UP	AD4_stress	pollen-pistil interaction	36	131	2.117587855233197e-8
UP	AD4_stress	Polyketide synthase, enoylreductase domain	12	44	0.017733245309460997
UP	AD4_stress	polysaccharide binding	35	130	6.130823193409724e-8
UP	AD4_stress	positive regulation of DNA-binding transcription factor activity	4	5	0.026112130567698795
UP	AD4_stress	programmed cell death induced by symbiont	17	84	0.03344373522061306
UP	AD4_stress	Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.ubiquitin conjugation (ubiquitylation).ubiquitin-ligase E3 activities.U-Box E3 ligase activities.group-II ligase	12	43	0.01450720661414504
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.G-Lectin protein kinase families.protein kinase (SD-1)	15	34	7.586993888613518e-6
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (DUF26)	13	37	7.283009933928241e-4
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (LRR-XII)	18	65	5.210556876465585e-4
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (LysM)	8	19	0.009646785041452137
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (RKF3)	5	8	0.021734242580817156
UP	AD4_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (WAK/WAKL)	12	45	0.021354284308837325
UP	AD4_stress	protein serine/threonine kinase activity	62	375	1.0147226303915567e-5
UP	AD4_stress	recognition of pollen	35	108	4.3045303853877645e-10
UP	AD4_stress	Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities.class tau glutathione S-transferase	11	32	0.00434120964769356
UP	AD4_stress	regulation of defense response	50	351	0.006808941537991603
UP	AD4_stress	regulation of immune response	43	287	0.007064657391204415
UP	AD4_stress	regulation of response to biotic stimulus	38	266	0.03344373522061306
UP	AD4_stress	regulation of response to external stimulus	41	277	0.011985790647295491
UP	AD4_stress	response to bacterium	84	642	7.955044348151435e-4
UP	AD4_stress	response to chitin	40	160	3.861769646470964e-8
UP	AD4_stress	response to ethylene	41	299	0.045613031127705955
UP	AD4_stress	response to fatty acid	40	270	0.014160716381070923
UP	AD4_stress	response to fungus	82	532	2.316826679607138e-6
UP	AD4_stress	response to jasmonic acid	38	262	0.026139322356983224
UP	AD4_stress	response to nitrogen compound	57	319	2.8720257248255043e-6
UP	AD4_stress	response to organonitrogen compound	49	249	1.4519675321775987e-6
UP	AD4_stress	response to salicylic acid	39	219	3.9984856872230044e-4
UP	AD4_stress	response to wounding	44	299	0.008604381971309511
